Vocabulary,PartOfSpeech,Meaning,Example,Pronounce
confidant,noun,someone to whom private matters are told (someone you trust to tell secrets to),Older persons who declared social support from confidants or neighbours were more helpful to their own household.,https://dictionary.cambridge.org/media/english/us_pron/c/con/confi/confidant.mp3
conformity,noun,"the act of matching attitudes, beliefs, and behaviors to group norms/ the process of something being made as it was designed without mistakes or faults","It's depressing how much conformity there is in such young children.
Our goal is to improve conformity with customer requirements.",
congruence,noun,"the consistency of different elements, objects, components of any structere, their harmonious work and consistency with each other; due to which harmonious work and integrity of the overall structure are achieved","We didn't have exact congruence between the two groups, but there was a tremendous amount of overlap.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus70/eus70959.mp3
connotation,noun,feeling or idea that is suggested by a particular word although it need not be a part of the word's meaning,"The word ""lady"" has connotations of refinement and excessive femininity that some women find offensive.",
construe,verb,"make sense of; to understand the meaning; esp. of other people's actions and statements, in a particular way",Any changes to the plan would be construed as indecision.,https://dictionary.cambridge.org/media/english/us_pron/c/con/const/construe.mp3
contention,noun,disagreement that results from opposing arguments; the act of competing as for profit or a prize,"There's a lot of contention about that issue - for every person firmly in favour, there's someone fiercely against it.",
convergence,noun,state of separate elements joining or coming together,"The convergence of pop-cultural trends and technological progress gave us camera phones and the ""selfie"".",
corroborate,verb,"to confirm or make more certain/ add proof to account, statement with new information ",Recent research seems to corroborate his theory.,https://dictionary.cambridge.org/media/english/us_pron/c/cor/corro/corroborate.mp3
coterie,noun,a group that meets socially; an exclusive circle of people with common purpose,a coterie of writers,
countenance,noun,give sanction or support to; tolerate or approve/ the appearance or expression on someone's face,"If someong will not countenance something, they do not agree with it and will not allow it to happen",
credulous,noun,having a tendency to believe on slight evidence; easily imposed upon; unsespecting and very gullible,The first one represents a skeptical approach and the second one represents a credulous approach.,https://dictionary.cambridge.org/media/english/us_pron/u/usc/uscra/uscrass015.mp3
curtail,verb,"reduce in extent or quantity; terminate or abbreviate before its intended or proper end, stop something before end",to curtail your holiday/spending,
dearth,noun,"scarcity, shortage of food, famine from failure or loss of crops, amount or supply that not large enough",a dearth of new homes in the region,https://dictionary.cambridge.org/media/english/us_pron/d/dea/deart/dearth.mp3
decorous,adjective,characterized by propriety and dignity and good taste,"His manner, as ever, was decorous.",
deference,noun,a polite or gentle regard for people's feelings,She covered her head out of/in deference to (= because of a polite respect for) Muslim custom.,https://dictionary.cambridge.org/media/english/us_pron/d/def/defer/deference.mp3
deft,adjective,"very skillful, capable",He's very deft at handling awkward situations.,
delectable,adjective,"delightful, delicious, extremely pleasing to the sense of taste",a delectable cheesecake,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75551.mp3
delineate,verb,portray; depict; draw or trace outline of; sketch out,The main characters are clearly delineated in the first chapter.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75558.mp3
delinquent,noun,"failing in duty; offending by neglect of duty; a person, usually young; who behave in a way that is illegal or unacceptable to most people",A delinquent person behaves in a way that is illegal or not acceptable to most people,
demeanor,noun,the way a person behaves toward other people,There was nothing in his demeanor that suggested he was anxious.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75568.mp3
denigrate,verb,to speak damagingly of; to criticize smth in a way that shows you think it has no value/importance at all,You shouldn't denigrate people just because they have different beliefs from you.,https://dictionary.cambridge.org/media/english/us_pron/d/den/denig/denigrate.mp3
denounce,verb,condemn openly; criticize; make known in formal manner,The government's economic policy has been denounced on all sides.,
deprivation,noun,"tha lack (or feeling of lack) of amterial benefits considered to be basic necessities in a society; the lack of somehting considered to be a neccesity in general (sleep deprivation, food deprivation, …)",There were food shortages and other deprivations during the Civil War.,
depute,verb,transfer power to someone; appoint or instruct so to perform a task for which one is responsible,I've deputed Lara Brown to speak for me at the conference.,
deterrent,noun,smth immaterial that interferes with action or progress,Tougher prison sentences may act/serve as a deterrent to other would-be offenders.,
deviant,adjective,term used to describe a person or behavior that is not usual and is generally considered to be different and unacceptable,,
diatribe,noun,an angry speech or article which is extremely critical of someone's ideas or activities,He launched into a long diatribe against the lack of action in Congress.,https://dictionary.cambridge.org/media/english/us_pron/u/usd/usdia/usdiari003.mp3
didactic,adjective,"intended to teach, esp. excessively, often fixed and unwilling to change",a didactic approach to teaching,
digression,noun,"the act of turning aside, straying from the main point, esp. in a speech or argument",Talking about money now would be a digression from the main purpose of this meeting.,
diligent,noun,having or showing care and integrity in one's work or duties,Their lawyer was extremely diligent in preparing their case.,https://dictionary.cambridge.org/media/english/us_pron/d/dil/dilig/diligent.mp3
disclose,verb,"expose to view as by removing a cover, to make smth known publicly, or to show smth that was hidden",The police have disclosed that two officers are under internal investigation.,https://dictionary.cambridge.org/media/english/us_pron/d/dis/discl/disclose.mp3
disconsolate,adjective,"sad, cheerless, gloomy, hopeless or not expecting, extremely sad and dissapointed",The players were disconsolate after losing what should have been an easy game.,
discordant,noun,not in agreement or harmony,Discordant opinions prevail even among good judges.,
disdain,verb,to regard with scorn or contempt,"If you disdain to do something, you do not do it, because you feel that you are too important to do it",
disparage,verb,express a negative opinion of,He never missed an opportunity to disparage his competitors,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus71/eus71318.mp3
dispassionate,adjective,able to be rational and make fair judgments or decisions that are not influenced by personal feelings or emotions,"In all the media hysteria, there was one journalist whose comments were clear-sighted and dispassionate.",https://dictionary.cambridge.org/media/english/us_pron/d/dis/dispa/dispassionate.mp3
docile,adjective,easily handled or managed; submissive; ready to accept control or instruction,The once docile population has finally risen up against the ruthless regime.,
doctrine,noun,"a belief or set of beliefs, esp. political or religious ones that are taught and accepted by a particular group",The president said he would not go against sound military doctrine.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75636.mp3
dour,adjective,"hard, inflexible, obstinate, gloomy in maner or appearance",The normally dour Mr James was photographed smiling and joking with friends.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus71/eus71379.mp3
downshifting,noun,"the practice of simplifying one's lifestyle and becoming less materialistic; the act of leaving a well-paid but difficult and stressful job to do smth that gives you more time and satisfaction, but less money",This may cause an increase in downshifting where individuals sacrifice salary for a better quality of life.,https://dictionary.cambridge.org/media/english/us_pron/c/cus/cus00/cus00615.mp3
dualism,noun,the belief that things are divided into two often very different or opposing parts,Western dualism values mind over body.,https://dictionary.cambridge.org/media/english/us_pron/u/usd/usdro/usdroop021.mp3
duplicity,noun,dishonest behavior that is intended to trick someone,They were accused of duplicity in their dealings with both sides.,https://dictionary.cambridge.org/media/english/us_pron/u/usd/usduc/usduckw029.mp3
ebullient,adjective,"overflowing with fervor, enthusiasm, or excitement, high-spirited",He wasn't his usual ebullient self.,
eclecticism,noun,"a combination of dissimilar, internally urelated and possibly incompatible attitudes, ideas, concepts, styles, …","Another obvious quality of Taiga's work is its stylistic eclecticism.
His music reflects his eclecticism and his songs are a unique mix of soul, reggae, and hip-hop.",https://dictionary.cambridge.org/media/english/us_pron/u/use/useas/useaste028.mp3
effrontery,noun,audacious behavior that you have no right to; extreme rudeness,He was silent all through the meal and then had the effrontery to complain that I looked bored!,
egregious,adjective,conspicuously and outrageously bad or reprehensible/ extremely bad in a very noticable way,It was an egregious error for a statesman to show such ignorance.,
eloquent,adjective,expressing what you mean using clear and effective language; fluet or persuasive in speaking or writing,She made an eloquent appeal for action.,
elucidate,verb,to explain something or make somethig clear,I don't understand. You'll have to elucidate.,
emancipation,noun,"any effort to procure economic and social rights, political rights or equality, often for a specifically disenfranchised group, or more generally, in the discussion of such matters, process of giving people freedom and social rights",black emancipation,
embellish,verb,"to decorate, to add details to, enhance (to make something more beautiful)",The ceiling was embellished with flowers and leaves.,
embezzle,verb,to steal money/wealth that people trust you to look after,She embezzled thousands of dollars from the charity.,
empirical,noun,"something that is based on investigation, experimentation, observation, or experience",Empirical studies show that some forms of alternative medicine are extremely effective.,
enervate,verb,"cause someone or something to feel drained of energy, weaken",The neural machinery for controlling muscles and for enervating the sensory surface might reasonably increase with some function of body size,
enigma,noun,"a person or thig that is mysterious, puzzling, or difficult to understand",The newspapers were full of stories about the enigma of the plane's disappearance.,
ennui,noun,a feeling of being bored and having no interest in anything,The whole country seems to be affected by the ennui of winter.,
epigram,noun,"a brief, interesting, memorable, and sometimes surprising or satirical statement; a short saying or poem which expresses an idea in a very clever and amusing way","One of Oscar Wilde's most frequently quoted epigrams is ""I can resist everything except temptation"".",
epitome,noun,the typical or highest example of a stated quality,"Even now in her sixties, she is the epitome of French elegance.",
ephemeral,adjective,"momentary, transient, fleeting, lasting for very short time",Fame in the world of rock and pop is largely ephemeral.,
equivocation,noun,"a way of speaking that is intentionally not clear and is confusing to other people, esp. to hide the truth",He answered openly and honestly without hesitation or equivocation.,https://dictionary.cambridge.org/media/english/us_pron/u/use/usequ/usequal010.mp3
euphemism,noun,"polite word or expressio that is used to refer to taboo topics. For example, ""passed away"" is a euphemism for ""died""
It may be use as a replacement of a name or a word that could reveal secret or holy and sacred name",The article made so much use of euphemism that often its meaning was unclear.,
evanescent,adjective,"quickly fading, short-lived, especially an image (and forgotton after)",We have shown that the branches with real frequency exist only if there are evanescent waves in the external regions.,
exaggeration,verb,"a representation of something in an excessive manner (if has strong feelings, to make people listen, to emphasize smth)",The threat of attack has been greatly exaggerated.,
exemplify,verb,to clarify by giving an illustration of,This painting perfectly exemplifies the naturalistic style which was so popular at the time.,
extrapolate,verb,using facts about the preesnt or about one thing or group to make a guess about the future or about other things or groups.,"For example, if you travel to Canada and encouter only friendly, kind natives, you might extrapolate that all Canadians are friendly",
facetious,adjective,treating serious issues with intentionally inappropriate humor; flippant,He's just being facetious.,
fallacious,adjective,containing or based on incorrect reasoning; not correct,His argument is based on fallacious reasoning.,
fastidious,adjective,giving careful attention to detail; very attentive (wanting everything to be perfect),He is very fastidious about how a suitcase should be packed.,
foible,noun,a slight weakness in someone's character,The minor foible in the woman's character made her unsuitable for the career she really wanted,
forbearance,noun,"self-control, patience, restrain, quality of patient, and being able to forgive someone",He thanked his employees for the forbearance (that) they had shown during the company's difficult times.,
fortuitous,adjective,"happening by luck, fortunate",The collapse of its rivals was a fortuitous opportunity for the company.,
frenzy,noun,"a state or period of uncontrolled excitement or wild behavior, often used when talking about a group of ppl (or animals) who get workedup at the same time about the same thing",There was a frenzy of activity in the financial markets yesterday.,
fret,verb,constantly or visibly anxious; to be nervous or worried,She spent the day fretting about/over what she'd said to Nicky.,
frivolous,adjective,not serious in attitude or behavior; not having any serious purpose or value; behave in a silly way,I think he sees her as a frivolous young woman.,
frugal,adjective,"thrifty, cheap; simple and plain and costing little",a frugal meal of bread and soup,
frustration,adjective,"feeling of being upset or annoyed as a result of being unable to change or achieve something.
Internal (challenges in fulfilling personal goals, desires, dealing with perceived deficiencies) or external frustration (conditions outside an indi's control)",I could sense his frustration at not being able to help.,
galvanize,verb,"to shock or affect someone enough to produce a strong and immediate reaction, typically into taking action",The prospect of his mother coming to stay galvanized him into action and he started cleaning the house.,
gestalt,noun,something that has particular qualities when you consider is as a whole which is not obvious when you consider only the separate parts of it,This new biography is the first to consider fully the writer's gestalt.,
gluttonous,noun,a person who eats or consumes immoderate amounts of food and drink; excessively greedy,She said that industrialized countries should reduce their gluttonous (= greater than is needed) consumption of oil.,
grandiloquent,noun,"style or way of using language in very complex way, in order to attract admiration and attention; big words used in a overly self-assured way (usually use in disagreement)","Her speech was full of grandiloquent language, but it contained no new ideas.",
grimace,verb,"contort the face to indicate a certain mental state, expression of pain",He tried to stand and grimaced with pain.,
gullible,adjective,easily persuaded to believe something,There are any number of miracle cures on the market for people gullible enough to buy them.,
hackneyed,noun,"something cliché that has been overused or done too much (so often it become boring), use in disagreement",The plot of the film is just a hackneyed boy-meets-girl scenario.,
harangue,verb,"loud pompous statement expressed by strong emotions, speak to group of people in a long time, in an angry way to persuade",A drunk in the station was haranguing passers-by.,
haughty,adjective,arrogant and condescending.,She has a rather haughty manner.,
hitherto,adverb,up to this point; until the present time,Mira revealed hitherto unsuspected talents on the dance floor.,
ingominious,adjective,deserving or bringing disgrace or shame; embarassing because of complete failure,an ignominious defeat/failure/retreat,
impecunious,adjective,having little or no money,I first knew him as an impecunious student living in a tiny apartment.,
impetuous,adjective,"rash, impulsive, acting without thinking",He's so impetuous - why can't he think things over before he rushes into them?,
impregnable,adjective,resistant to capture or penetration; strong enough to resist or withstand attack; not to be taken by force,"Despite burglar alarms and window locks, homes are never impregnable against determined thieves.",
inauguration,noun,"the act of putting a service, system, … into actio, or an occasion when this happens",He watched the inauguration of his country's new president.,
incensed,adjective,angered at something unjust or wrong,Teacher was incensed at his lack of concentration,
inchoate,adjective,not completely developed or clear,"If something is inchoate, it is new or not yet properly develop",
inconsequential,adjective,"unimportant, trivial",Most of what she said was pretty inconsequential.,
indelible,adjective,not able to be removed,The blood had left an indelible mark (cannot be washed out) on her shirt.,
indolent,adjective,"wanting to avoid activity or exertion; lazy, slothful",an indolent reply,
inexorable,adjective,incapable of being persuaded or placated; continuing without any possibility of being stopped,the inexorable progress of science,
infatuation,noun,a foolish and usually extravagant passion of love (strong but not lasting),No one expected their infatuation with each other to last.,
ingrate,noun,"a person who shows no gratitude, ungrateful","For most of the production, the ingrates seem to possess an idealised beauty only visible through the words of others.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus72/eus72425.mp3
initiation,noun,"a rite of passage marking entrance or acceptance into a group or society, occasion when something starts",Lawyers for the couple have announced the initiation of divorce proceedings.,
injunction,noun,a judicial remedy to prohibit a party from doing something (usually an official order from court of law),The court has issued an injunction to prevent the airline from increasing its prices.,
insinuate,verb,say something which seems to mean something unpleasant without saying it openly; to suggest indirectly or subtly,Are you insinuating (that) I'm losing my nerve?,
insurgent,noun,a rebel or revolutionary; in opposition to a civil authority or government,All approaches to the capital are now under the control of the insurgents.,
interpolation,noun,"an interruption or an addition inserted into smth spoken or written. If you tell a story and then add some new parts, those are interpolations","An actor reads the poems in English translation, with brief musical interpolations.",
intervention,noun,"act of intentionally involved in a difficult situation, to improve it or prevent from getting worse",Half the people questioned said they were opposed to military intervention in the civil war.,
intransigent,adjective,"refusing to compromise, often on an extreme opinion; refuse to change opinion, behavior",Unions claim that the management continues to maintain an intransigent position.,
intrepid,adjective,extreme brave and showing no fear of dangerous situations; fearless; adventurous (humurous effect),a team of intrepid explorers,
inveterate,adjective,habitual; someone who does something very often,I never trust anything he says - the man's an inveterate liar.,
